60497847,0.7,1359368269.51,2013/01/28 10:17:49,2013/01/28 02:17:49 PST,"46.6 km (  28.9 mi) ESE ( 119. azimuth) from Longview, WA",45.9352,-122.4130,21.2,13.2
10819498,1.3,1312364068.28,2011/08/03 09:34:28,2011/08/03 02:34:28 PDT,"12.0 km (   7.5 mi) SSW ( 214. azimuth) from Newhalem, WA",48.5837,-121.3345,12.4,7.7
10830543,1.5,1321387333.66,2011/11/15 20:02:13,2011/11/15 12:02:13 PST,"28.0 km (  17.4 mi) ESE ( 104. azimuth) from Grants Pass, OR",42.378,-122.9962,0.0,0.0
60477846,0.8,1350521722.85,2012/10/18 00:55:22,2012/10/17 17:55:22 PDT,"50.6 km (  31.5 mi) WNW ( 282. azimuth) from Maupin, OR",45.267,-121.7130,10.7,6.6
60496067,0.8,1358793041.04,2013/01/21 18:30:41,2013/01/21 10:30:41 PST,"22.7 km (  14.1 mi) SSW ( 197. azimuth) from Bremerton, WA",47.3708,-122.7160,23.8,14.7
10801773,1.8,1282804291.61,2010/08/26 06:31:31,2010/08/25 23:31:31 PDT,"22.4 km (  13.9 mi) NW  ( 307. azimuth) from Granite Falls, WA",48.206,-122.2077,0.0,0.0
10828943,1.2,1318057442.83,2011/10/08 07:04:02,2011/10/08 00:04:02 PDT,"10.6 km (   6.6 mi) NNE (  25. azimuth) from Tacoma, WA",47.3232,-122.3742,7.5,4.7
60886861,2.4,1411668700.78,2014/09/25 18:11:40,2014/09/25 11:11:40 PDT,"2.3 km (   1.4 mi) WNW ( 300. azimuth) from Bend, OR",44.0688,-121.3332,0.0,0.0
61036017,1.3,1435649587.49,2015/06/30 07:33:07,2015/06/30 00:33:07 PDT,"19.1 km (  11.9 mi) ESE ( 106. azimuth) from Friday Harbor, WA",48.4875,-122.7555,26.8,16.6
10784023,1.0,1262640125.08,2010/01/04 21:22:05,2010/01/04 13:22:05 PST,"13.9 km (   8.6 mi) ESE ( 115. azimuth) from Maupin, OR",45.1225,-120.9192,15.6,9.6
10812588,1.8,1302607038.83,2011/04/12 11:17:18,2011/04/12 04:17:18 PDT,"37.0 km (  23.0 mi) SSE ( 159. azimuth) from Morton, WA",46.2478,-122.1012,7.4,4.6
60533161,2.9,1369495379.68,2013/05/25 15:22:59,2013/05/25 08:22:59 PDT,"9.2 km (   5.7 mi) NE  (  34. azimuth) from Sedro Woolley, WA",48.5687,-122.1647,15.4,9.5
